Training model...
step: 106, nll_train: 9.998981, rec_acc_eval: 0.693
step: 107, nll_train: 9.917809, rec_acc_eval: 0.693
step: 108, nll_train: 9.943955, rec_acc_eval: 0.698
step: 109, nll_train: 9.731871, rec_acc_eval: 0.700
step: 110, nll_train: 9.702625, rec_acc_eval: 0.701
step: 111, nll_train: 9.589540, rec_acc_eval: 0.699
step: 112, nll_train: 9.468379, rec_acc_eval: 0.702
step: 113, nll_train: 9.541234, rec_acc_eval: 0.702
step: 114, nll_train: 9.319559, rec_acc_eval: 0.703
step: 115, nll_train: 9.735747, rec_acc_eval: 0.701
step: 116, nll_train: 9.329277, rec_acc_eval: 0.709
step: 117, nll_train: 9.517652, rec_acc_eval: 0.721
step: 118, nll_train: 9.720060, rec_acc_eval: 0.720
step: 119, nll_train: 9.557182, rec_acc_eval: 0.717
step: 120, nll_train: 9.516724, rec_acc_eval: 0.703
step: 121, nll_train: 9.344800, rec_acc_eval: 0.710
step: 122, nll_train: 9.368983, rec_acc_eval: 0.707
step: 123, nll_train: 9.408277, rec_acc_eval: 0.710
step: 124, nll_train: 9.277973, rec_acc_eval: 0.711
step: 125, nll_train: 9.366502, rec_acc_eval: 0.713
step: 126, nll_train: 9.152510, rec_acc_eval: 0.721
step: 127, nll_train: 9.126534, rec_acc_eval: 0.716
step: 128, nll_train: 9.258602, rec_acc_eval: 0.719
step: 129, nll_train: 9.139322, rec_acc_eval: 0.720
step: 130, nll_train: 9.317257, rec_acc_eval: 0.716
step: 131, nll_train: 9.125110, rec_acc_eval: 0.712
step: 132, nll_train: 9.124581, rec_acc_eval: 0.704
step: 133, nll_train: 8.966221, rec_acc_eval: 0.709
step: 134, nll_train: 9.150209, rec_acc_eval: 0.718
step: 135, nll_train: 9.074286, rec_acc_eval: 0.719
step: 136, nll_train: 8.957149, rec_acc_eval: 0.724
step: 137, nll_train: 9.023424, rec_acc_eval: 0.726
step: 138, nll_train: 9.110346, rec_acc_eval: 0.726
step: 139, nll_train: 8.913303, rec_acc_eval: 0.725
step: 140, nll_train: 8.967686, rec_acc_eval: 0.730
step: 141, nll_train: 8.909018, rec_acc_eval: 0.727
step: 142, nll_train: 8.913843, rec_acc_eval: 0.729
step: 143, nll_train: 8.838162, rec_acc_eval: 0.729
step: 144, nll_train: 8.898238, rec_acc_eval: 0.733
step: 145, nll_train: 8.971870, rec_acc_eval: 0.739
step: 146, nll_train: 8.863029, rec_acc_eval: 0.739
step: 147, nll_train: 8.879805, rec_acc_eval: 0.730
step: 148, nll_train: 8.623988, rec_acc_eval: 0.728
step: 149, nll_train: 8.569773, rec_acc_eval: 0.724
step: 150, nll_train: 8.757578, rec_acc_eval: 0.725
