iterations,data,l2_distance,F1_full,F1_per,MIOU_full,MIOU_per,MOF_full,MOF_per
100,100,5.690366025680535,0.340669851478512,0.4823423373262644,0.23288057639508244,0.35578159328159314,0.39414414414414417,0.6081081081081079
100,1000,5.502679134183345,0.3149119529669165,0.4949528017395859,0.17402557105403008,0.37456209959935716,0.3405365126676602,0.6126428216592139
100,5000,5.57251168372679,0.31121246100766364,0.48074218978674343,0.17620067443732637,0.37612765679928056,0.34377921106748927,0.6115161712469631
100,15000,5.5377127167728535,0.31465789529324756,0.47837193125856775,0.18143301729410855,0.3748117720889024,0.35019914215686276,0.6113817401961015
1000,100,2.5329647783415368,0.35657142358973243,0.6816161565934409,0.24332462089642423,0.5545473979817414,0.39141414141414144,0.7483164983164983
1000,1000,2.4905934058439296,0.329971565735649,0.6666934892769032,0.2231574621561352,0.5468407002863731,0.3646881287726358,0.7329812206572776
1000,5000,2.242709065349755,0.3269581643810066,0.696720292006489,0.2249902543091401,0.5814829399606596,0.367986798679868,0.7481091859185981
1000,15000,2.3693680120352587,0.3349969212946681,0.6822700501864194,0.22654196358327042,0.5811488547960386,0.37012449987706475,0.7502235186303136
5000,100,2.49949825969247,0.36155476533593595,0.6806666616439776,0.24401008840645536,0.5560820105820108,0.39416666666666667,0.7433333333333334
5000,1000,2.0123235651959117,0.33071530260095056,0.6944118588123788,0.22647120584976557,0.5775427489785423,0.36973373778227164,0.7546343107516017
5000,5000,1.6182906348985708,0.32856196742502325,0.7364505212912229,0.21554054997347527,0.6272213361686999,0.35433333333333333,0.7845614035087761
5000,15000,1.8013497679832273,0.3345726002005519,0.7182065091825315,0.22564172317566142,0.6098081423081516,0.3679256179256179,0.775831600831629
10000,100,2.3429352621062933,0.3505535005546017,0.6380555505342873,0.22818313981994928,0.5094402607423439,0.3732638888888889,0.7152777777777779
10000,1000,1.427574892081188,0.33129133069183747,0.7313688559996504,0.21535248096308168,0.6365418880047932,0.3557122953674678,0.7937129919888521
10000,5000,0.6672032999244296,0.34366205199640265,0.7619815913794885,0.23299298252214648,0.6795962565542968,0.37859333761323916,0.8330658392181919
10000,15000,0.8672039736077415,0.33448234592948217,0.6946747633336405,0.21356488402477267,0.5968910691130589,0.3645411370303115,0.7874412161847695
50000,100,2.6845975292903987,0.34452296321580056,0.598933328313369,0.20783135987881154,0.47134716209716215,0.35833333333333334,0.7100000000000002
50000,1000,0.7947136107029932,0.3285890943615061,0.7355482645565328,0.21267841247930677,0.6458601891935264,0.35673952641165757,0.8120218579234988
50000,5000,0.8614455359860775,0.324783354633346,0.7230158679918203,0.21023290790825266,0.6370634976874259,0.35505243764172334,0.8089569160997203
50000,15000,0.5400920227668861,0.3520030014055093,0.7271222090340513,0.23505826758889328,0.6386225609369883,0.3860213078618663,0.812160176340899
100,500,5.469885535253843,0.3155702117947889,0.3386133283220454,0.12265389673689946,0.18543793490460156,0.34355555555555556,0.48577777777777914
1000,500,2.2860967562801573,0.3158640176785186,0.33333332832222023,0.11440867426782919,0.15481779566286638,0.3432260228034876,0.4644533869885987
5000,500,2.2528354680712033,0.316767960692844,0.33333332832222007,0.1142728093947606,0.15486675700090308,0.3428184281842818,0.46460027100271406
10000,500,1.5820059507716933,0.3174945954465203,0.3333333283222243,0.11469717668488161,0.15420081967213128,0.3440915300546448,0.4626024590163929
50000,500,2.5217480941262123,0.3314692603835203,0.5249787183867579,0.1862498510411947,0.3764601434814194,0.3606382978723404,0.6242907801418428
