run_id,learning_rate,hidden_dim,latent_dim,iterations,beta_b,beta_z,prior_rate,seg_acc,skill_acc,l2_distance
0,0.0001,128,8,100,0.5,0.5,3.0,0.5456204379562044,0.34793187347931875,6.117673874832612
1,0.0001,128,8,100,0.5,0.5,4.0,0.5933333333333334,0.3561111111111111,4.920815022745569
2,0.0001,128,8,100,0.5,0.5,5.0,0.7083333333333334,0.3561111111111111,3.362752585573926
3,0.0001,128,8,100,0.5,1.0,3.0,0.5471014492753623,0.36292270531400966,6.09403710641357
4,0.0001,128,8,100,0.5,1.0,4.0,0.6033333333333334,0.34444444444444444,4.761908648014332
5,0.0001,128,8,100,0.5,1.0,5.0,0.7266666666666667,0.36666666666666664,3.2443891559240168
6,0.0001,128,8,100,1.0,0.5,3.0,0.5425531914893617,0.35756501182033096,6.07515533742942
7,0.0001,128,8,100,1.0,0.5,4.0,0.6166666666666667,0.35444444444444445,4.586752443192876
8,0.0001,128,8,100,1.0,0.5,5.0,0.76,0.3422222222222222,2.6811195361240174
9,0.0001,128,8,100,1.0,1.0,3.0,0.5428082191780822,0.3481735159817352,6.0248870928348115
10,0.0001,128,8,100,1.0,1.0,4.0,0.62,0.34833333333333333,4.5087887639543105
11,0.0001,128,8,100,1.0,1.0,5.0,0.7766666666666666,0.345,2.629216447501081
12,0.0001,128,8,1000,0.5,0.5,3.0,0.6358695652173914,0.3538647342995169,4.324060400805016
13,0.0001,128,8,1000,0.5,0.5,4.0,0.6965648854961832,0.35877862595419846,3.2326516435924217
14,0.0001,128,8,1000,0.5,0.5,5.0,0.7517985611510791,0.3657074340527578,2.678895691917554
15,0.0001,128,8,1000,0.5,1.0,3.0,0.5042372881355932,0.3516949152542373,7.199215483590332
16,0.0001,128,8,1000,0.5,1.0,4.0,0.6746323529411765,0.35355392156862747,3.8726203922234324
17,0.0001,128,8,1000,0.5,1.0,5.0,0.7390350877192983,0.34137426900584794,2.879384692879345
18,0.0001,128,8,1000,1.0,0.5,3.0,0.5856643356643356,0.36013986013986016,5.2926583442147885
19,0.0001,128,8,1000,1.0,0.5,4.0,0.6678321678321678,0.36480186480186483,3.7716859857896843
20,0.0001,128,8,1000,1.0,0.5,5.0,0.7481203007518797,0.36779448621553884,2.752734473629654
21,0.0001,128,8,1000,1.0,1.0,3.0,0.5054347826086957,0.35688405797101447,7.749948537638706
22,0.0001,128,8,1000,1.0,1.0,4.0,0.5262237762237763,0.36072261072261075,6.046567889508571
23,0.0001,128,8,1000,1.0,1.0,5.0,0.5419463087248322,0.37416107382550334,5.449041593571773
24,0.0001,128,8,5000,0.5,0.5,3.0,0.6375,0.3451388888888889,4.249419965480267
25,0.0001,128,8,5000,0.5,0.5,4.0,0.7129629629629629,0.35185185185185186,3.1133919272910293
26,0.0001,128,8,5000,0.5,0.5,5.0,0.75,0.35696517412935325,2.639138874548884
27,0.0001,128,8,5000,0.5,1.0,3.0,0.5178571428571429,0.35374149659863946,6.977901229588838
28,0.0001,128,8,5000,0.5,1.0,4.0,0.5329861111111112,0.37210648148148145,6.216667216014978
29,0.0001,128,8,5000,0.5,1.0,5.0,0.5483333333333333,0.37555555555555553,5.420535282359827
30,0.0001,128,8,5000,1.0,0.5,3.0,0.5175,0.3441666666666667,7.132342624521727
31,0.0001,128,8,5000,1.0,0.5,4.0,0.6888111888111889,0.36421911421911424,3.3695520506939167
32,0.0001,128,8,5000,1.0,0.5,5.0,0.7444029850746269,0.3445273631840796,2.6042826098245517
33,0.0001,128,8,5000,1.0,1.0,3.0,0.5161290322580645,0.3431899641577061,7.100187449937822
34,0.0001,128,8,5000,1.0,1.0,4.0,0.5316666666666666,0.36,6.3292202055683715
35,0.0001,128,8,5000,1.0,1.0,5.0,0.5383333333333333,0.37444444444444447,5.543944755616136
36,0.0001,128,8,10000,0.5,0.5,3.0,0.6365546218487395,0.36204481792717086,4.257439100133696
37,0.0001,128,8,10000,0.5,0.5,4.0,0.7277777777777777,0.3506172839506173,2.9353207786522946
38,0.0001,128,8,10000,0.5,0.5,5.0,0.7810077519379846,0.3430232558139535,2.4501448776468497
