run_id ,learning_rate ,hidden_dim ,latent_dim ,iterations ,out_channels ,kernel ,seg_acc            ,skill_acc           ,l2_distance
    40 ,       0.0001 ,       128 ,        64 ,       100 ,           8 ,     3 ,0.5869565217391305 ,0.3961352657004831  ,4.922916508025198
    41 ,       0.0001 ,       128 ,        64 ,       100 ,          16 ,     3 ,0.6223404255319149 ,0.38475177304964536 ,5.346120001493661
    42 ,       0.0001 ,       128 ,        64 ,       100 ,          32 ,     3 ,0.565              ,0.3527777777777778  ,5.596683925887777
    43 ,       0.0001 ,       128 ,        64 ,       100 ,          64 ,     3 ,0.553448275862069  ,0.3586206896551724  ,5.850761013558208
    44 ,       0.0001 ,       128 ,        64 ,      1000 ,           8 ,     3 ,0.7883333333333333 ,0.37666666666666665 ,2.2554743701131073
    45 ,       0.0001 ,       128 ,        64 ,      1000 ,          16 ,     3 ,0.775              ,0.37555555555555553 ,2.3590926039058835
    46 ,       0.0001 ,       128 ,        64 ,      1000 ,          32 ,     3 ,0.7867132867132867 ,0.391025641025641   ,2.1859752465032285
    47 ,       0.0001 ,       128 ,        64 ,      1000 ,          64 ,     3 ,0.9081632653061225 ,0.409297052154195   ,0.9746741432449164
    48 ,       0.0001 ,       128 ,        64 ,      5000 ,           8 ,     3 ,0.9714285714285714 ,0.4244047619047619  ,0.40612745813289564
    49 ,       0.0001 ,       128 ,        64 ,      5000 ,          16 ,     3 ,0.9318181818181818 ,0.4020979020979021  ,0.7655481533676582
    50 ,       0.0001 ,       128 ,        64 ,      5000 ,          32 ,     3 ,0.795774647887324  ,0.39906103286384975 ,2.165994634053609
    51 ,       0.0001 ,       128 ,        64 ,      5000 ,          64 ,     3 ,0.948943661971831  ,0.3826291079812207  ,0.5583499927045755
    52 ,       0.0001 ,       128 ,        64 ,     10000 ,           8 ,     3 ,0.9637931034482758 ,0.38850574712643676 ,0.4208264855637682
    53 ,       0.0001 ,       128 ,        64 ,     10000 ,          16 ,     3 ,0.685374149659864  ,0.35374149659863946 ,3.246942416629507
    54 ,       0.0001 ,       128 ,        64 ,     10000 ,          32 ,     3 ,0.7816901408450704 ,0.3961267605633803  ,2.330542522362905
    55 ,       0.0001 ,       128 ,        64 ,     10000 ,          64 ,     3 ,0.9111111111111111 ,0.3845679012345679  ,0.9722775715438464
    56 ,       0.0001 ,       128 ,        64 ,     50000 ,           8 ,     3 ,0.9507299270072993 ,0.3765206812652068  ,0.5933961895284411
    57 ,       0.0001 ,       128 ,        64 ,     50000 ,          16 ,     3 ,0.6955782312925171 ,0.3554421768707483  ,3.1711470404812574
    58 ,       0.0001 ,       128 ,        64 ,     50000 ,          32 ,     3 ,0.8007518796992481 ,0.3941102756892231  ,2.3054158798704494
